start,duration,text
0.237,3.153,"- All right, here's a theory I've been thinking about."
3.39,3.36,"Someday, maybe not next year or five or even 10 years,"
6.75,2.79,"but maybe someday we'll all live in a world"
9.54,2.07,"where we all have these wearable computers"
11.61,2.16,"on our faces all the time."
13.77,1.08,"And a lot of these tech companies"
14.85,1.26,"really believe in that future."
16.11,1.89,"Like I've never spoken to anyone on Planet Earth"
18.0,1.89,"who believes more than Mark Zuckerberg"
19.89,2.94,"that humans are on their way to spending"
22.83,2.79,"tons of their time in some sort of metaverse."
25.62,2.82,"But the tech is clearly not good enough yet,"
28.44,2.22,"today in 2023 for anyone to wanna do that."
30.66,3.03,"Like this is what a VR headset looks like in 2023,"
33.69,1.41,"and this is the best we've got."
35.1,4.71,"And even now, the computers and pixels and batteries,"
39.81,2.58,"and everything on your face are too much"
42.39,2.73,"for people to wanna spend all day in something like this."
45.12,1.86,"But we're all kind of on board that"
46.98,3.45,"maybe someday the tech will shrink down more, and more,"
50.43,2.16,"and more and more until eventually,"
52.59,2.88,"it's no more than just a normal looking pair of glasses."
55.47,1.47,"And then maybe at that point,"
56.94,1.2,"we'll all be cool wearing it every day."
58.14,0.833,"So this is Quest 3,"
58.973,2.497,"this newest and latest and greatest headset from Meta."
61.47,3.48,"My theory is, is on this side of the scale,"
64.95,4.26,"and on the other side of the sliding scale is smart glasses."
69.21,2.25,"And meta literally is also announcing smart glasses"
71.46,0.833,"at their event."
72.293,1.807,"So these things are literally called the RayBan"
74.1,3.18,"Meta Smart Glasses, AKA the RayBan Stories too."
77.28,1.68,"Right now, they are super simple,"
78.96,1.77,"they don't do much because they can only fit"
80.73,2.67,"a camera and small speakers, and a battery,"
83.4,1.68,"but there are some clever tricks"
85.08,2.22,"that enable them to do as much as possible."
87.3,3.24,"And maybe someday the tech will get powerful enough"
90.54,3.54,"and useful enough for people to want to use these every day."
94.08,2.76,"So VR headsets are racing to get smaller and smaller,"
96.84,3.0,"and smart glasses are racing to get better and better tech,"
99.84,2.67,"and they're both basically racing towards each other,"
102.51,3.24,"and companies like Meta are spending tons and tons of money"
105.75,2.4,"to develop these things to figure out"
108.15,2.31,"which strategy will hit first."
110.46,2.4,"So let's see."
112.86,1.35,"Let's start with the headset."
114.21,3.48,"So this is the latest and greatest from Meta, the Quest 3."
117.69,2.64,"And this is the year they made their big pivot to it being"
120.33,1.62,"a mixed reality headset,"
121.95,2.16,"which in hindsight feels like a natural progression"
124.11,2.22,"for these things if you wanna get them more comfortable"
126.33,2.43,"for people to wear every day like glasses."
128.76,1.8,"So in previous VR headsets,"
130.56,2.16,"it really felt like pass through was an afterthought."
132.72,1.41,"Like you put the headset on,"
134.13,2.31,"and you're just immediately in your own world"
136.44,1.47,"until you take the headset off."
137.91,2.37,"And this new version is still built to be immersive,"
140.28,1.65,"it still has all the light blocking"
141.93,1.77,"and fills your field of view with screens"
143.7,1.56,"and makes it as immersive as possible."
145.26,2.61,"But it now has a bunch more sensors"
147.87,3.15,"arranged around the outside that make pass through"
151.02,2.25,"dramatically better than before."
153.27,3.96,"It's now color, stereo, very low latency,"
157.23,1.74,"and decently high resolution."
158.97,1.92,"And there's immediately a bunch of benefits"
160.89,2.16,"to having pass through being this good."
163.05,2.94,"First of all, the setup was way more intuitive."
165.99,1.53,"Like you can literally take it to a new spot"
167.52,2.22,"for the first time and just put it on it boots up,"
169.74,1.56,"and automatically you look down"
171.3,2.37,"and it just maps out the floor of the room you're in."
173.67,2.4,"The available floor space, the objects in the room,"
176.07,1.65,"the spots where you can stand,"
177.72,2.04,"and to surprisingly great accuracy."
179.76,2.34,"So it's using a pair of RGB cameras"
182.1,2.13,"and the Lidar sensor in the middle."
184.23,3.39,"So you no longer have to painstakingly draw a play area"
187.62,1.29,"every single time and stick with it."
188.91,2.67,"It just naturally feels like it plants the menu"
191.58,2.19,"floating right in the middle of where you're standing,"
193.77,1.83,"and you can still see everything around you."
195.6,2.07,"Now you may be wondering, okay, how good though"
197.67,2.43,"like exactly is the Quest 3?"
200.1,1.26,"Is it the best?"
201.36,2.571,"Is it better than the Quest Pro?"
203.931,2.52,"Yes, it's better than the Quest Pro"
206.451,3.16,"but it is not as good as Apple Vision Pro."
209.611,1.949,"I would kind of equate it to like,"
211.56,1.8,"if I gave you a clear pair of glasses"
213.36,3.27,"that were not exactly your prescription."
216.63,2.85,"But basically this one's good because it's stereo and color,"
219.48,2.79,"and nearly real time, so you see accurate colors,"
222.27,2.85,"you look at your hands and you can find the controllers"
225.12,0.93,"wherever they are in the room,"
226.05,1.44,"just pick them up and put them down"
227.49,2.25,"without needing someone to hand them to you."
229.74,1.47,"Just so many benefits like that."
231.21,2.4,"There's also just a small amount of distortion"
233.61,1.2,"with up close objects"
234.81,1.77,"and things near the edges of your vision."
236.58,3.27,"But it's not quite high enough fidelity to like"
239.85,2.85,"pick up your phone and start using that screen."
242.7,1.23,"So like if you get a text,"
243.93,1.38,"you're still gonna have to take the headset off"
245.31,0.87,"to be able to read it."
246.18,2.97,"And I know comparing it to a $3,500 headset"
249.15,2.61,"feels unnecessary and it kind of is,"
251.76,1.62,"but also a lot of people are asking me about it,"
253.38,1.86,"and I'm one of the few people who can actually"
255.24,1.08,"say they've tried both."
256.32,2.67,"So I will say that yes, Apple Vision Pro"
258.99,2.88,"is still the best pass through I've ever experienced."
261.87,2.94,"I distinctly remember taking notes about my experience"
264.81,2.76,"on my phone while still wearing the headset,"
267.57,0.833,"it was kind of insane."
268.403,1.867,"But for a $500 headset, yeah."
270.27,1.86,"This is absolutely as good as you're gonna see."
272.13,3.12,"And combined with the high resolution of the actual menus"
275.25,1.721,"and the accuracy of the controllers,"
276.971,1.699,"I think it's pretty awesome."
278.67,1.65,"And then of course, the other benefit to having"
280.32,2.82,"way higher quality sensors around the outside of the headset"
283.14,2.43,"is you don't actually need the controllers."
285.57,1.23,"Now you've always had the choice"
286.8,2.97,"to either use the controllers or use your hands."
289.77,1.89,"And these controllers have gotten better over the years,"
291.66,1.77,"they're smaller, they're pretty sweet,"
293.43,1.92,"they have better haptics than ever before."
295.35,2.85,"But the hand tracking has also gotten way better"
298.2,1.74,"and really intuitive and responsive."
299.94,2.97,"And I think this is key again, to feeling like the future."
302.91,3.63,"So you do this pinch gesture here to pull up the menu"
306.54,1.83,"and move around to select things."
308.37,1.8,"You can literally scroll around menus"
310.17,2.22,"by touching the digital menu"
312.39,1.98,"and flinging them through space with your finger."
314.37,2.67,"Or you can grab a window and just move it around,"
317.04,1.95,"putting it on a table or floating it in the air,"
318.99,2.79,"and it just stays locked there, which is pretty awesome."
321.78,3.87,"So pretty much everything except typing is natural."
325.65,1.23,"It works as you'd expect,"
326.88,2.37,"like you're typing on a virtual keyboard floating in space,"
329.25,1.8,"but this will definitely take more practice,"
331.05,1.71,"because there's no haptic feedback."
332.76,2.01,"See the other gestures I was talking about"
334.77,2.01,"almost always have a haptic feedback"
336.78,1.86,"of your own fingers hitting each other,"
338.64,1.11,"which is really interesting."
339.75,2.73,"This keyboard here, you're sort of just poking"
342.48,2.97,"an invisible plane in the air where the keyboard should be,"
345.45,1.29,"so that that's a little tougher."
346.74,1.8,"The main selling point of this headset though,"
348.54,2.667,"is still playing games, that's still what it's super good at"
351.207,2.643,"and it plays all the same games that the Quest 2 could play,"
353.85,1.92,"and there are even some games optimized for Quest 3"
355.77,0.9,"that it's even better at."
356.67,3.18,"It has this nextgen Qualcomm Snapdragon XR2 chip,"
359.85,2.13,"it has higher resolution per eye,"
361.98,2.31,"it has a wider more immersive field of view,"
364.29,1.98,"and it's, in my opinion slightly more comfortable,"
366.27,2.58,"thanks to this new strap that improves weight distribution."
368.85,1.35,"So I've been playing a bunch,"
370.2,2.25,"I've really enjoyed this golf game that feels"
372.45,3.63,"surprisingly realistic as someone that was expecting like"
376.08,2.4,"wee golf levels of graphics and control."
378.48,1.11,"Also pinging pong,"
379.59,3.66,"which this has this eerie multiplayer mode online,"
383.25,2.61,"where someone else's avatar just shows up in your space"
385.86,2.684,"standing 10 feet away from you, but with no legs."
388.544,3.886,"But there's the classics like Beat Saber, Super Hot,"
392.43,2.64,"and then even some new ones like The Rotag is Blowing Up."
395.07,2.76,"All this stuff is the main reason why today,"
397.83,1.08,"you'd buy something like this,"
398.91,2.37,"to spend like half an hour in the thing."
401.28,2.28,"But again, the tech is shrinking down"
403.56,3.12,"more and more and more, and will every single year,"
406.68,4.17,"until it gets close to something like these, smart glasses."
410.85,1.53,"So let's talk about the smart glasses."
412.38,1.92,"So these are the Meta Smart Glasses,"
414.3,1.08,"and there's others like it,"
415.38,1.71,"but they're gonna start at the other end of the spectrum"
417.09,1.74,"where there's only so much stuff"
418.83,2.76,"that you can stuff into a regular looking pair of glasses"
421.59,2.125,"that nobody would even look twice at."
423.715,3.395,"But over time, as tech gets better and more powerful,"
427.11,1.32,"and more miniaturized,"
428.43,2.73,"these things will get more and more powerful"
431.16,2.52,"and more and more able to do more stuff."
433.68,2.82,"So right now this is a 12 megapixel camera"
436.5,2.79,"with a little LED light ring to indicate when it's recording"
439.29,1.38,"or taking a picture."
440.67,3.72,"A shutter button on top, and then a literal computer inside"
444.39,3.21,"with some storage, a touch pad on the side,"
447.6,1.11,"and then some microphones,"
448.71,1.89,"and then these really tiny pinhole speakers"
450.6,3.0,"that fire audio downwards directly into your ears."
453.6,1.29,"It doesn't sound like much,"
454.89,2.04,"but when paired directly to your phone,"
456.93,2.82,"and the Meta View app, this thing is surprisingly capable"
459.75,1.95,"as a little computer on your face."
461.7,1.8,"So you can use the camera of course"
463.5,2.31,"to just take first person pictures and videos"
465.81,1.56,"just by hitting the shutter button."
467.37,2.88,"Videos are limited to 60 seconds or less,"
470.25,1.77,"and portrait orientation."
472.02,1.02,"But honestly, despite all that,"
473.04,2.25,"they're actually pretty solid looking videos"
475.29,1.2,"and there's some promise here,"
476.49,2.85,"I kind of feel like I might want to use these for auto focus"
479.34,1.47,"for like car driving footage,"
480.81,1.14,"if I could get wide screen out of them,"
481.95,0.833,"that would be awesome."
482.783,1.087,"And then you can also start a recording"
483.87,1.567,"or take a picture just by saying,"
485.437,2.12,"Hey, Meta take a picture."
488.67,2.1,"And so you could see that it was pretty fast,"
490.77,1.38,"the little light there."
492.15,1.56,"I don't know if you wanna"
493.71,1.65,"say that phrase out loud very often,"
495.36,1.5,"so you might just stick to one of these,"
496.86,3.27,"but yeah, it has a voice assistant built in."
500.13,1.41,"So you can send and receive messages"
501.54,3.0,"through WhatsApp Messenger, you know, Meta stuff."
504.54,2.22,"But it's just audio,"
506.76,2.67,"like there's no screen anywhere in here built in."
509.43,3.15,"So this really works best with experiences"
512.58,3.0,"that can be entirely handled with just audio."
515.58,2.01,"So they're connected all the time to your phone"
517.59,2.61,"via Bluetooth, so you can listen to music."
520.2,2.7,"And these little speakers are directional enough that"
522.9,2.91,"at half volume, there's really not that much bleed."
525.81,2.31,"And that high volume, it kind of just sounds the same"
528.12,1.44,"as someone like maybe listening next to you"
529.56,2.057,"with open back headphones."
531.617,2.417,"(rap music)"
536.848,1.562,"That's as loud as it gets."
538.41,4.47,"But you can also ask questions of the Meta"
542.88,2.28,"virtual assistant, little AI virtual assistant"
545.16,3.21,"built into the computers in this little pair of glasses."
548.37,0.937,"And you have to ask it,"
549.307,2.093,"Hey Meta, what's the weather tomorrow?"
551.4,2.743,"And then it reads the answers directly into your ears."
554.143,3.197,"And so now I know it's gonna rain"
557.34,1.83,"for our last parts of the year, great."
559.17,3.06,"We can also ask it random questions about people."
562.23,2.25,"I asked it to write a poem and it gave me a poem."
564.48,1.8,"It's internet connected from your phone,"
566.28,1.35,"so it can do a bunch of stuff."
567.63,2.88,"For fun, I asked it to write an acceptance speech for me"
570.51,2.67,"as I walk onto stage wearing the sunglasses."
573.18,1.44,"And by the time I got on stage"
574.62,3.18,"I can start saying an acceptance speech"
577.8,1.29,"as it's reading them into my ears,"
579.09,2.49,"which I thought was, that's kind of a fun hack."
581.58,4.14,"So this is all based on Meta's new Llama 2 language model."
585.72,2.34,"So it's pretty fluid and you don't have to rely on saying"
588.06,1.95,"certain specific phrases to get it to"
590.01,1.35,"keep going through the conversation."
591.36,1.89,"Now you know, it's not the best AI assistant"
593.25,2.37,"I've ever heard, and it still has its limitations,"
595.62,2.04,"it still can't set alarms,"
597.66,3.641,"or access third party services that aren't Meta."
601.301,3.86,"But the fact that I could be on a phone call right now"
605.161,3.985,"and you wouldn't even notice in public,"
609.146,1.174,"that's kind of the point."
610.32,2.82,"There's two different styles by RayBan for these."
613.14,3.21,"These are the headliner and the Wayfarer."
616.35,2.31,"The downside is very clearly battery life."
618.66,2.43,"I mean, this is a small, small battery to fit in here."
621.09,2.22,"So it's cool that you have this wireless charging case."
623.31,1.41,"So the second you take them off,"
624.72,1.41,"you can just put them in the case,"
626.13,2.82,"and charge them back up, just like earbuds basically."
628.95,1.83,"So it's more about how many times"
630.78,1.65,"the case can charge them up."
632.43,2.76,"Honestly, on one charge, if I listen to a bunch of music"
635.19,1.59,"and take a bunch of pictures and videos,"
636.78,2.07,"I can kill these things in under two hours."
638.85,3.66,"But they're quoting 36 total hours of battery life"
642.51,1.17,"with the charging case."
643.68,1.65,"By the way, the recording light is on one side,"
645.33,1.89,"but then it's the camera on the other side."
